A1,A6,B1,B9,D1,E38,year,weight,B10
2,2,8236,2,4,NA,2016,53.5132453047881,NA
2,5,8212,1,8,NA,2016,114.302214820726,1
2,4,8212,2,8,NA,2016,114.302214820726,NA
2,5,8212,2,8,NA,2016,114.302214820726,NA
2,3,8313,1,3,NA,2016,8.63859073896496,1
2,3,8231,1,3,NA,2016,118.712385680636,1
2,3,8236,1,4,NA,2016,50.0081358505039,2
1,2,8423,1,8,NA,2016,24.7851956509531,2
1,5,8230,2,5,NA,2016,255.711092776512,NA
1,5,8406,2,5,NA,2016,145.913948583214,NA
1,11,8215,1,8,NA,2016,32.4527266661945,4
1,7,8439,1,8,NA,2016,21.9237870339284,2
2,2,8218,1,4,NA,2016,108.078974180107,1
2,3,8236,1,4,NA,2016,45.0972990249956,3
2,2,8545,1,6,NA,2016,103.604770425828,1
1,2,8212,1,9,NA,2016,92.2463794214078,5
2,4,8330,2,4,NA,2016,8.63859073896496,NA
1,7,8231,1,1,NA,2016,157.275872994598,4
2,2,8406,2,6,NA,2016,32.1692409192405,NA
1,1,8439,2,8,NA,2016,24.3891328104788,NA
1,4,8231,1,2,NA,2016,127.562715249726,4
1,6,8510,2,8,NA,2016,12.2027112521508,NA
1,1,8423,2,7,NA,2016,21.5734489737051,NA
2,4,8231,1,2,NA,2016,118.712385680636,3
2,8,8406,1,4,NA,2016,31.6666495541945,3
2,7,8207,1,7,NA,2016,255.501995173598,2
2,5,8406,2,8,NA,2016,31.6666495541945,NA
1,7,8229,2,9,NA,2016,20.1563003484699,NA
1,5,8231,1,2,NA,2016,127.562715249726,4
2,5,8212,2,7,NA,2016,114.302214820726,NA
1,9,8231,1,4,NA,2016,157.275872994598,4
2,3,8406,2,7,NA,2016,32.1692409192405,NA
1,5,8218,2,3,NA,2016,106.771943494037,NA
1,5,8236,2,4,NA,2016,62.7233583136164,NA
2,3,8218,1,7,NA,2016,117.636295722456,2
1,5,8229,1,4,NA,2016,22.1597661958095,1
