"W22A1";"W22B1";"W22A6";"W22B9";"W22D1";"W22E38";"weight_2022"
1;8229;13;1;8;1;245.561874881626
1;8215;17;1;7;1;172.550531280022
1;8229;16;1;8;1;245.561874881626
2;8406;12;2;5;-7;230.570373311366
2;8212;14;2;8;1;187.951286400905
2;8439;11;1;8;1;224.953204530775
2;8231;14;2;7;2;589.226121098349
2;8236;12;1;7;3;266.233574062433
1;8229;11;1;9;1;235.112433397301
1;8212;15;1;8;1;177.32900801068
2;8207;14;1;5;3;175.990775044127
1;8215;11;1;7;1;202.879671336192
2;8207;16;1;8;3;126.559952029311
2;8218;11;1;9;2;177.831276974623
2;8510;13;1;8;1;310.744271313633
2;8236;12;1;6;4;242.451830158551
1;8423;8;1;7;3;264.93748166311
1;8207;14;1;9;1;172.5801451351
2;8406;11;1;3;1;260.130677582054
1;8218;11;1;7;1;162.886313888015
2;8406;14;1;7;-7;234.117609823848
2;8510;12;1;7;-7;310.744271313633
2;8420;16;1;9;1;207.649111874561
1;8215;13;1;7;1;130.226816060394
1;8207;10;2;8;1;182.632773051934
1;8510;7;1;8;1;250.986963547943
2;8215;15;1;8;1;139.828711449526
1;8218;15;2;6;2;153.785782990628
1;8229;11;2;6;1;235.112433397301
1;8218;15;2;8;1;181.397959486206
2;8401;11;2;3;1;227.614342884297
1;8236;9;1;9;1;188.197405345888
1;8510;8;1;7;1;317.916820494061
1;8345;15;2;8;-7;493.203375647386
2;8236;11;1;8;3;202.157018949102
1;8229;12;1;8;1;220.666200930493
2;8236;8;1;9;1;224.618909943446
1;8207;10;1;6;1;172.5801451351
1;8439;11;1;4;2;212.076221176426
1;8510;10;2;8;1;250.986963547943
2;8310;16;2;2;1;339.767837094731
1;8236;13;2;4;1;213.063400240822
2;8229;15;1;8;1;162.753421630674
2;8231;15;1;2;2;435.21830119175
2;8229;16;1;4;3;191.254020810238
2;8439;12;1;8;1;180.284500232177
1;8439;15;2;7;1;264.510507478319
1;8207;12;2;9;1;185.594385587911
1;8212;15;1;7;1;203.542861368781
1;8212;8;1;8;1;222.995675625471
1;8229;10;2;4;1;245.561874881626
1;8215;10;1;7;1;172.550531280022
2;8212;10;1;8;1;185.675847098231
2;8423;10;1;8;-7;201.022012559416
2;8439;6;1;9;2;201.022012559416
2;8207;17;1;8;1;178.9736695364
2;8510;8;2;8;1;274.668040000163
2;8218;14;1;5;2;151.867719627818
1;8207;13;1;9;1;172.5801451351
2;8401;8;2;5;-7;196.057453722189
1;8215;15;1;6;-7;130.226816060394
2;8215;16;1;8;2;121.46411109786
1;8215;8;1;7;1;178.920321196019
1;8218;10;2;9;1;174.097112819579
2;8207;16;2;8;2;126.559952029311
1;8218;12;1;2;4;240.775122695377
2;8510;13;1;8;1;255.350727296855
1;8207;15;1;9;1;172.5801451351
2;8406;12;1;7;-7;236.044503731864
2;8232;8;2;8;1;162.753421630674
2;8207;9;1;9;1;126.559952029311
2;8212;13;1;8;1;137.753116741036
2;8207;13;1;7;-7;126.559952029311
2;8207;9;1;6;2;137.753116741036
2;8432;9;1;8;1;306.954199546824
2;8423;9;1;8;1;201.022012559416
2;8212;13;2;6;1;137.753116741036
1;8539;15;2;8;1;264.510507478319
2;8218;14;1;7;1;177.831276974623
1;8510;16;2;7;1;218.712007132344
1;8207;13;2;9;1;257.073304361634
1;8212;13;2;8;1;203.542861368781
1;8207;16;1;9;3;151.68771899012
2;8218;12;1;8;1;151.867719627818
1;8523;11;1;8;1;228.644675955835
1;8439;16;1;8;2;264.93748166311
2;8510;12;1;8;-7;310.744271313633
1;8218;10;1;8;2;175.416030340939
1;8510;8;1;8;1;250.986963547943
2;8510;11;1;8;-7;214.709320249608
1;8207;14;2;9;2;185.594385587911
1;8231;12;1;4;2;322.433830574186
1;8423;10;1;4;-7;228.644675955835
2;8207;13;1;7;3;226.440599283011
1;8212;8;2;8;1;203.542861368781
2;8510;12;1;8;1;310.744271313633
1;8218;12;2;5;2;186.394448566359
1;8215;15;1;8;1;166.690324557304
2;8218;9;2;8;1;151.867719627818
1;8212;9;1;8;1;222.995675625471
1;8510;8;1;8;1;286.474497588055
1;8218;11;2;5;2;195.320379906156
2;8207;12;2;8;1;178.9736695364
2;8229;15;2;6;1;191.254020810238
2;8336;11;1;2;3;358.406529872499
1;8215;16;1;7;1;166.690324557304
1;8229;14;2;8;1;222.905868568143
2;8439;16;1;8;-7;207.649111874561
1;8215;15;1;8;1;180.314053006699
1;8218;15;2;7;1;186.394448566359
2;8207;15;1;6;1;186.132616317856
2;8439;10;2;8;1;186.603593779167
1;8236;11;2;7;1;170.932219402241
2;8207;11;1;5;3;175.990775044127
1;8229;15;2;4;1;235.112433397301
