"W16A1";"W16A6";"W16B1";"W16B9";"W16D1";"weight_2016"
2;7;8207;1;5;311.822959595088
2;5;8310;2;1;8.63859073896496
1;6;8406;1;7;33.620848202021
1;1;8510;1;8;15.3400932715348
2;3;8424;1;5;38.2234430314533
1;9;8229;1;9;20.774459285079
2;6;8423;1;5;22.8305835092597
1;7;8231;1;2;157.275872994598
1;8;8231;1;2;157.275872994598
2;5;8231;1;1;118.712385680636
1;9;8336;2;3;10.1887831539162
1;3;8255;1;9;255.711092776512
2;2;8231;1;4;143.445621063506
2;1;8229;1;8;28.7252461963411
2;4;8439;1;8;117.636295722456
1;2;8229;1;4;32.3606557377049
1;2;8510;1;7;15.3400932715348
1;4;8236;1;2;42.9796063940674
2;2;8236;2;4;53.5132453047881
2;5;8212;1;8;114.302214820726
2;4;8212;2;8;114.302214820726
2;5;8212;2;8;114.302214820726
2;3;8313;1;3;8.63859073896496
2;3;8231;1;3;118.712385680636
2;3;8236;1;4;50.0081358505039
1;2;8423;1;8;24.7851956509531
1;5;8230;2;5;255.711092776512
1;5;8406;2;5;145.913948583214
1;11;8215;1;8;32.4527266661945
1;7;8439;1;8;21.9237870339284
2;2;8218;1;4;108.078974180107
2;3;8236;1;4;45.0972990249956
2;2;8545;1;6;103.604770425828
1;2;8212;1;9;92.2463794214078
2;4;8330;2;4;8.63859073896496
1;7;8231;1;1;157.275872994598
2;2;8406;2;6;32.1692409192405
1;1;8439;2;8;24.3891328104788
1;4;8231;1;2;127.562715249726
1;6;8510;2;8;12.2027112521508
1;1;8423;2;7;21.5734489737051
2;4;8231;1;2;118.712385680636
2;8;8406;1;4;31.6666495541945
2;7;8207;1;7;255.501995173598
2;5;8406;2;8;31.6666495541945
1;7;8229;2;9;20.1563003484699
1;5;8231;1;2;127.562715249726
2;5;8212;2;7;114.302214820726
1;9;8231;1;4;157.275872994598
2;3;8406;2;7;32.1692409192405
1;5;8218;2;3;106.771943494037
1;5;8236;2;4;62.7233583136164
2;3;8218;1;7;117.636295722456
1;5;8229;1;4;22.1597661958095
1;4;8218;2;5;106.771943494037
2;8;8207;1;9;311.822959595088
1;2;8406;1;9;32.2651401024743
2;3;8406;2;3;32.1692409192405
1;7;8236;1;2;44.3734396580336
2;5;8207;1;8;352.189436344679
1;4;8231;1;6;127.562715249726
1;4;8207;1;7;255.711092776512
1;2;8510;1;7;15.3400932715348
2;5;8229;1;5;20.211326255055
1;9;8309;2;3;14.4115340510018
1;4;8231;2;2;127.562715249726
2;2;8218;2;8;120.794147613139
2;3;8215;2;9;31.2227431976525
2;3;8423;1;7;29.6894953128804
2;6;8406;1;5;31.6666495541945
2;11;8207;1;9;255.501995173598
1;5;8218;1;5;106.771943494037
2;3;8313;1;3;8.63859073896496
1;10;8218;2;5;96.7967100187466
1;8;8229;1;8;20.1563003484699
1;5;8510;2;8;14.643253502575
2;3;8207;1;8;352.189436344679
1;1;8439;1;8;24.7851956509531
1;6;8345;2;7;14.4115340510018
1;5;8510;1;8;12.2027112521508
2;8;8212;1;7;103.185087932649
2;6;8216;2;8;26.4774227347595
1;4;8439;1;8;21.9237870339284
1;7;8423;1;7;18.8616349612914
2;3;8310;1;6;8.63859073896496
1;6;8264;1;8;255.711092776512
1;10;8231;1;2;157.275872994598
2;4;8345;2;7;8.63859073896496
1;10;8510;2;9;12.2441590226343
1;7;8510;2;5;14.643253502575
2;4;8510;1;6;13.1335672450724
1;4;8236;2;2;44.3734396580336
1;5;8218;1;2;115.364006574644
1;4;8236;2;2;58.710173106203
1;5;8336;1;1;10.1887831539162
1;10;8218;1;2;96.7967100187466
1;9;8212;2;8;93.8323670369613
2;11;8212;1;5;103.594552567325
1;3;8510;1;9;12.2027112521508
2;3;8354;1;4;8.63859073896496
1;5;8207;2;4;255.711092776512
1;8;8231;1;1;157.275872994598
1;6;8207;1;6;255.711092776512
2;8;8207;2;8;311.822959595088
1;7;8212;2;8;110.039775888745
2;1;8201;1;2;120.794147613139
2;9;8231;2;1;188.480579102546
1;1;8231;1;2;115.283157850041
2;2;8510;1;8;14.4414125595827
2;4;8439;1;9;22.8305835092597
1;2;8212;1;7;92.2463794214078
1;5;8229;1;6;22.1597661958095
2;9;8231;1;2;182.248517720399
1;5;8439;2;9;21.5734489737051
1;5;8215;2;7;38.7921736556311
1;9;8312;2;3;10.1887831539162
1;8;8345;1;8;10.1887831539162
2;9;8439;1;7;28.3557932169374
1;9;8510;1;8;12.2027112521508
1;2;8406;2;5;32.3395327179569
1;5;8215;2;6;38.7921736556311
2;2;8406;2;3;32.1692409192405
2;6;8207;1;8;352.189436344679
2;4;8229;2;8;20.211326255055
2;2;8510;1;8;14.4414125595827
2;7;8236;1;8;45.5669371189829
