"W20A1";"W20B1";"W20A6";"W20B9";"W20D1";"W20E38";"weight_2020"
2;8218;14;1;9;1;176.646098637604
1;8439;11;1;7;1;63.417653301129
1;8215;9;1;8;1;38.8711946561952
1;8236;10;1;7;1;64.185553493133
2;8212;6;1;8;3;137.759210243262
1;8207;10;1;9;1;271.927335970524
1;8423;9;1;8;-7;149.964213504292
1;8424;14;1;2;3;127.894670591019
1;8229;8;1;9;1;30.2097835588449
1;8207;13;2;8;1;234.716226837715
2;8212;14;2;6;1;133.781229282063
2;8410;8;2;7;-7;106.969902582875
1;8215;15;1;4;1;38.8711946561952
1;8207;6;1;8;1;262.863091438173
1;8212;12;1;8;1;142.123806836706
2;8601;11;1;7;-7;41.3347069261508
1;8229;8;1;4;1;35.6118802716244
2;8215;9;1;8;-7;41.489056093164
1;8215;7;1;7;1;37.8188826380413
2;8207;15;2;8;1;244.577005003127
1;8236;8;2;8;4;64.185553493133
1;8510;15;1;7;1;143.757140185899
2;8218;12;1;8;2;152.450320759081
1;8212;14;2;9;3;124.862873538856
2;8236;11;2;8;1;64.483463722513
2;8218;12;1;8;1;187.378291822483
1;8207;10;1;8;1;303.004745795727
2;8406;5;1;8;2;86.4320455948471
1;8423;8;1;8;1;37.9601032602894
1;8218;7;2;9;-7;173.765414981666
1;8231;10;1;2;2;272.287691376224
1;8423;9;1;9;-7;63.417653301129
2;8236;9;1;9;1;68.837274229325
1;8231;9;1;3;1;221.172520529512
1;8423;8;1;9;1;72.2308374645052
1;8439;10;1;6;3;63.417653301129
1;8229;7;2;4;-7;36.3816748235551
1;8607;11;1;7;-7;32.3082438776559
1;8215;10;1;7;1;32.3082438776559
1;8439;8;1;7;1;72.2308374645052
1;8212;6;1;9;1;124.862873538856
2;8423;10;2;7;1;44.5435659070281
1;8215;6;2;8;2;45.4227144694145
2;8439;7;1;7;2;40.3888174170082
1;8423;12;2;9;2;69.9413501099024
2;8218;6;1;5;-7;184.591200525352
2;8432;11;1;3;4;94.960550093825
2;8510;13;1;8;-7;178.953495352227
1;8510;7;1;7;1;131.408740123856
1;8236;10;1;6;3;66.934456615708
2;8236;9;1;7;1;64.483463722513
2;8424;11;1;6;2;86.4320455948471
1;8510;7;1;7;1;37.9601032602894
1;8215;7;1;8;2;37.4896924979043
1;8215;12;1;8;1;38.8711946561952
1;8406;1;2;3;4;118.139992325602
1;8349;11;1;8;1;37.4896924979043
1;8207;12;2;7;1;271.927335970524
1;8212;13;2;8;1;154.618207437735
1;8215;10;1;5;1;38.8711946561952
1;8218;13;1;5;4;163.597323822864
1;8215;12;2;7;2;37.4896924979043
1;8354;10;2;9;-7;176.094238228353
2;8207;7;1;9;1;335.708798598607
2;8229;10;1;8;1;33.6868762233105
2;8231;8;1;7;1;258.999982044489
1;8207;12;2;8;1;253.580431374922
2;8215;7;1;7;2;41.489056093164
1;8439;8;1;8;1;72.2308374645052
2;8424;7;1;4;-7;105.297122213266
2;8216;8;2;8;-7;42.4848469046785
2;8336;11;1;7;-7;186.54441207555
1;8336;11;1;4;2;171.941072232401
1;8212;9;1;6;-7;154.873774722756
2;8510;13;1;7;-7;174.161599375836
2;8212;10;1;7;1;145.542216471695
1;8236;7;2;2;3;68.377853158225
2;8236;8;2;8;3;68.837274229325
2;8212;9;1;8;1;145.542216471695
2;8218;5;2;8;1;184.591200525352
1;8229;12;1;6;2;52.1893376224916
1;8349;10;1;8;1;38.8711946561952
2;8439;9;1;7;-7;40.3888174170082
1;8218;9;2;8;-7;181.580950887887
2;8231;8;1;8;1;184.537487206698
2;8601;10;1;7;-7;40.3888174170082
1;8218;15;1;5;1;173.765414981666
2;8312;6;2;6;1;183.486306959557
2;8510;8;1;8;-7;163.581811203163
1;8215;9;1;6;1;38.8711946561952
1;8212;5;1;6;1;124.862873538856
2;8310;14;2;6;3;158.562750264217
2;8406;5;1;8;1;92.8761145680088
2;8439;8;1;9;1;48.8318163539375
1;8432;9;2;8;2;116.408318917054
2;8236;9;1;7;4;69.6021328318731
1;8510;15;1;8;1;110.983404518299
1;8231;10;1;3;3;221.172520529512
2;8336;7;1;7;-7;173.165202193082
2;8439;11;2;8;-7;48.1824923372908
1;8236;6;1;8;1;75.4412225217843
2;8229;12;1;9;2;27.0342478370718
2;8218;10;1;5;2;187.378291822483
1;8510;14;1;8;1;110.983404518299
1;8207;7;1;9;1;348.06699004227
1;8215;10;2;4;1;37.8188826380413
1;8218;6;1;8;3;149.964213504292
1;8229;8;2;6;1;29.2096879844082
2;8215;6;1;3;-7;35.3117728189623
2;8218;9;1;5;-7;150.016425942899
1;8510;6;1;6;1;110.983404518299
2;8215;11;1;8;3;42.4848469046785
2;8212;12;2;8;2;117.533501849633
2;8215;6;2;9;1;35.3117728189623
2;8207;6;1;9;1;244.577005003127
1;8215;6;1;7;1;37.4896924979043
1;8229;12;2;8;1;30.2097835588449
1;8207;6;1;4;1;234.716226837715
1;8218;9;1;6;2;147.570009805384
2;8231;13;2;8;1;251.724091563574
1;8439;13;1;7;-7;63.417653301129
2;8207;9;1;9;1;262.272498905162
2;8439;9;2;8;-7;50.4576747629665
2;8510;14;1;8;-7;138.155698833161
1;8510;6;1;8;1;110.983404518299
2;8231;7;1;8;3;188.014801780443
1;8207;9;1;7;1;234.716226837715
1;8236;9;1;8;1;75.4412225217843
2;8406;13;1;8;1;106.969902582875
1;8439;4;1;7;-7;72.2777710820909
2;8212;6;1;8;1;184.421326046651
2;8215;7;1;6;-7;35.3117728189623
1;8212;14;1;8;1;154.873774722756
1;8236;9;1;7;2;68.377853158225
1;8424;12;2;2;1;116.408318917054
1;8510;5;1;8;1;139.907708464667
2;8229;7;1;4;1;27.0342478370718
1;8218;13;2;8;2;147.570009805384
1;8229;9;1;5;1;25.8461481559006
1;8510;7;1;6;-7;110.983404518299
1;8218;8;1;8;2;173.765414981666
1;8510;13;1;8;1;110.983404518299
2;8212;7;1;8;2;145.782782118755
1;8229;14;1;7;2;29.2096879844082
1;8218;13;2;8;1;163.597323822864
1;8229;11;1;8;1;29.2096879844082
1;8212;7;1;9;1;154.618207437735
1;8215;15;1;7;2;38.8711946561952
1;8229;14;1;8;-7;35.6118802716244
2;8406;10;2;5;-7;105.297122213266
2;8212;12;2;8;1;133.781229282063
2;8439;9;1;8;1;44.5435659070281
2;8231;6;2;7;4;188.014801780443
1;8406;9;1;7;1;188.502670025822
2;8231;12;2;7;2;188.014801780443
2;8236;10;1;7;3;69.6021328318731
2;8439;12;1;7;-7;46.0315629416536
2;8229;7;2;4;4;34.4072245199095
2;8310;7;1;3;1;128.977972411611
1;8229;9;1;9;1;25.8461481559006
1;8212;13;1;8;1;146.349854098819
2;8315;9;1;4;2;173.165202193082
2;8207;12;1;2;1;226.38257800235
1;8215;9;1;7;1;37.9601032602894
2;8207;14;1;8;3;244.577005003127
2;8218;9;1;9;2;184.591200525352
2;8345;5;1;6;1;186.54441207555
1;8236;7;1;6;1;75.4412225217843
2;8510;11;1;7;-7;178.953495352227
2;8236;10;1;6;4;68.837274229325
2;8539;10;1;6;4;35.3117728189623
1;8423;6;1;7;1;72.2308374645052
1;8207;12;1;9;1;234.716226837715
1;8212;14;2;9;1;154.618207437735
2;8406;9;1;4;1;106.969902582875
1;8218;9;1;5;2;184.32259126134
2;8406;12;1;7;-7;87.7177962731095
2;8510;10;1;7;-7;178.953495352227
2;8420;14;1;9;2;46.0315629416536
1;8215;11;1;7;1;32.3082438776559
1;8207;8;2;8;1;262.863091438173
1;8218;10;1;7;1;175.817439249281
1;8510;5;1;8;1;131.408740123856
2;8215;13;1;8;1;40.9749136954578
1;8218;13;2;5;1;163.597323822864
1;8229;9;2;6;2;32.8950976529644
1;8218;13;2;8;1;147.570009805384
1;8510;11;1;7;3;177.146587981131
1;8212;8;2;8;1;132.07524408918
2;8401;6;2;5;3;86.4320455948471
1;8510;8;2;7;3;160.505544867752
1;8229;7;2;9;1;25.8461481559006
1;8236;7;1;8;1;67.0323140084209
1;8510;6;1;7;1;131.408740123856
1;8345;13;2;8;-7;176.094238228353
2;8218;12;2;4;-7;152.450320759081
2;8236;9;1;8;4;65.7778398191328
1;8229;11;1;8;1;30.2097835588449
1;8229;6;1;9;1;30.2097835588449
1;8439;7;1;9;1;63.417653301129
2;8236;6;1;9;1;64.483463722513
1;8207;8;1;6;1;234.716226837715
1;8439;8;1;5;-7;63.417653301129
1;8207;8;1;5;2;253.580431374922
1;8510;10;2;8;3;139.907708464667
2;8354;10;1;1;-7;158.562750264217
2;8406;6;2;5;3;86.4320455948471
2;8310;14;2;2;-7;183.486306959557
1;8313;6;1;8;1;176.094238228353
1;8236;11;2;4;1;66.934456615708
2;8229;13;1;8;1;31.5984714978761
2;8231;13;1;2;1;251.724091563574
2;8229;14;1;4;4;27.0342478370718
1;8207;8;1;9;1;234.716226837715
2;8439;10;1;8;1;46.0016723163669
1;8439;13;2;7;1;69.9413501099024
1;8207;10;2;9;1;271.927335970524
1;8212;13;1;7;2;154.618207437735
1;8212;6;1;8;1;124.862873538856
1;8229;8;2;4;1;35.6118802716244
1;8215;8;1;7;1;38.8711946561952
2;8212;8;1;8;1;184.421326046651
1;8439;5;1;7;1;72.2777710820909
2;8423;8;1;8;-7;44.5435659070281
2;8201;11;1;7;4;152.450320759081
2;8439;4;1;8;1;50.4576747629665
2;8207;12;1;6;1;226.38257800235
1;8218;8;1;7;2;173.765414981666
2;8207;15;1;8;1;244.577005003127
2;8510;6;2;8;1;138.155698833161
2;8218;12;1;5;2;152.450320759081
1;8207;11;1;9;1;262.863091438173
2;8401;6;2;6;-7;68.837274229325
1;8215;13;1;8;1;32.3082438776559
2;8215;14;1;7;1;35.3117728189623
1;8215;6;1;7;1;37.4896924979043
1;8218;8;2;9;1;175.817439249281
2;8207;14;2;8;-7;283.254298817575
