"W18A1";"W18A6";"W18B1";"W18B9";"W18B10";"W18D1";"W18E38";"weight_2018"
1;7;8406;1;2;7;1;201.46632185623
2;10;8231;2;-7;7;2;308.198983468715
2;8;8236;1;1;7;3;67.2393020561023
1;4;8212;1;1;7;-7;177.136115512878
2;10;8439;1;2;7;-7;25.5285231069676
2;11;8212;1;1;8;3;133.27280033577
2;5;8229;2;-7;6;1;33.1874785657354
2;6;8310;1;1;6;-7;74.0861310147463
1;7;8229;1;5;9;1;32.0334029629626
1;11;8212;1;4;8;1;137.193659106926
2;9;8207;2;-7;5;2;308.198983468715
1;8;8236;1;5;8;1;66.0076445491317
2;7;8315;1;3;7;2;118.904447558095
2;11;8310;2;-7;3;1;104.676566691599
2;10;8207;1;5;2;1;281.779054361708
1;6;8439;1;5;8;1;46.7534074736533
1;7;8215;1;2;7;1;50.0929365431336
2;12;8207;1;1;8;3;329.554741980749
2;7;8218;1;5;9;2;145.194506472145
2;3;8345;1;3;6;1;74.0861310147463
1;5;8236;1;4;6;1;59.3719553578297
2;12;8510;1;3;7;-7;15.7943024977442
1;3;8236;1;4;8;1;59.3719553578297
2;9;8510;1;3;7;1;17.0262627671209
2;8;8236;1;2;5;-7;56.7103574790626
2;3;8229;1;1;8;1;49.8817891836487
2;8;8539;1;3;6;3;35.0051503799311
1;4;8423;1;1;7;-7;25.8194982137825
2;6;8218;1;2;9;1;142.095116353267
2;4;8229;1;1;8;2;33.6813419667604
1;10;8207;1;5;9;1;373.860811324546
1;5;8218;1;2;8;-7;185.427056641267
2;7;8406;2;-7;3;3;31.9602377550574
1;12;8207;2;-7;8;1;437.248976833521
2;8;8406;1;1;7;1;31.9602377550574
1;12;8212;2;-7;9;2;131.211937521916
2;7;8406;1;3;4;1;39.016627463231
1;7;8218;1;2;5;2;191.46228085271
2;10;8406;1;3;7;-7;31.9602377550574
1;10;8437;1;4;9;1;34.0484073094498
2;8;8510;1;2;7;-7;17.0262627671209
1;3;8229;1;5;4;1;40.8896998424114
2;11;8420;1;3;9;2;25.5655018470119
